,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
399,956,Fauna,Invertebrados Aquáticos,Onuphidae,Diopatra cuprea,Desconhecido,Vulnerável (VU),VU,Marinho,Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Transporte; Poluição,Sim,Não,Não,2.0,Não,AL; BA; ES; PB; PE; PR; RJ; RS; SC; SE; SP,SP,[-44.09218185 -22.99936495]
400,965,Fauna,Invertebrados Aquáticos,Hyriidae,Diplodon (Rhipidodonta) koseritzi,Marisco-do-junco,Em Perigo (EN),EN,Mata Atlântica; Pampa,Especies Exoticas; Outras Atividades Econômicas: Barrages Abastecimento/Drenagem; Poluição,Sim,Não,Não,2.0,Sim,RS,RS,[-50.72816088 -29.00557694]
401,1054,Fauna,Peixes Continentais,Sternopygidae,Eigenmannia vicentespelaea,Ituí,Vulnerável (VU),VU,Cerrado,Agropecuária; Queimadas,Sim,Sim,Não,2.0,Sim,GO,GO,[-46.1691506  -16.44517884]
402,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,AL,[-33.36366125  -8.55664843]
403,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,BA,[-38.25487802 -15.06205724]
404,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,CE,[-39.11012716  -4.70639311]
405,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,ES,[-38.99877567 -16.72012892]
406,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,MA,[-45.53264162  -8.16303522]
407,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PA,[-46.66717531   0.17121904]
408,1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Neon,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca; Extracao Direta:Remocao De Corais; Outras Atividades Econômicas:Turismo; Poluição,Sim,Sim,Sim,2.0,Sim,AL; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP,PB,[-34.62591074  -5.56598411]
